record;stcrt;x;y;code;url
116;stcrt-2018-71613;122434;486894;C21;https://zoek.officielebekendmakingen.nl/stcrt-2018-71613
117;stcrt-2018-71620;120045;488554;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-71620
118;stcrt-2018-71623;119788;488534;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-71623
119;stcrt-2018-71635;125794;480013;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-71635
120;stcrt-2018-71287;123462;486539;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-71287
121;stcrt-2018-71291;124001;486815;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-71291
122;stcrt-2018-71295;121155;486190;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-71295
123;stcrt-2018-71061;124001;486815;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-71061
124;stcrt-2018-70820;120538;488419;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70820
125;stcrt-2018-70789;127164;478690;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70789
126;stcrt-2018-70169;121308;485487;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70169
127;stcrt-2018-70740;126596;481826;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70740
128;stcrt-2018-70815;121029;489134;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70815
129;stcrt-2018-70819;121602;486843;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-70819
130;stcrt-2018-70331;123718;489377;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70331
131;stcrt-2018-70335;120449;487239;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70335
132;stcrt-2018-70112;120846;488518;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70112
133;stcrt-2018-70323;121878;487004;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70323
134;stcrt-2018-70114;120492;487520;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-70114
135;stcrt-2018-70115;120393;487272;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-70115
136;stcrt-2018-70329;122790;491316;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70329
137;stcrt-2018-70050;119104;487123;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70050
138;stcrt-2018-70066;119225;487563;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70066
139;stcrt-2018-70059;120994;489260;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70059
140;stcrt-2018-70068;119658;486437;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-70068
141;stcrt-2018-70072;121097;487210;E7;https://zoek.officielebekendmakingen.nl/stcrt-2018-70072
142;stcrt-2018-70063;119458;485997;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-70063
143;stcrt-2018-69268;117918;488061;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69268
144;stcrt-2018-69372;123992;489523;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69372
145;stcrt-2018-69374;124576;490834;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69374
146;stcrt-2018-69356;123515;489420;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69356
147;stcrt-2018-69363;123897;489539;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69363
148;stcrt-2018-68108;114052;485399;L8;https://zoek.officielebekendmakingen.nl/stcrt-2018-68108
149;stcrt-2018-68121;113627;489478;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-68121
150;stcrt-2018-69281;122008;486009;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69281
151;stcrt-2018-69262;118194;487764;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69262
152;stcrt-2018-69265;118954;487903;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69265
153;stcrt-2018-69284;120977;486517;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-69284
154;stcrt-2018-69146;125032;483856;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69146
155;stcrt-2018-69147;124311;485735;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69147
156;stcrt-2018-69148;125106;483652;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69148
157;stcrt-2018-69145;123407;484947;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69145
158;stcrt-2018-69149;124685;485799;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69149
159;stcrt-2018-69150;124194;485672;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69150
160;stcrt-2018-69151;122819;485513;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69151
161;stcrt-2018-69152;122970;485245;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69152
162;stcrt-2018-69153;123680;485586;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69153
163;stcrt-2018-69154;122462;485354;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69154
164;stcrt-2018-69155;123699;486010;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69155
165;stcrt-2018-69156;123100;485638;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69156
166;stcrt-2018-69157;124228;486096;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69157
167;stcrt-2018-69158;124615;485785;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69158
168;stcrt-2018-69159;124676;485867;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69159
169;stcrt-2018-69160;122848;484502;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69160
170;stcrt-2018-69161;124300;486056;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69161
171;stcrt-2018-69162;124626;484505;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69162
172;stcrt-2018-69163;123220;485019;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69163
173;stcrt-2018-69164;123405;485206;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69164
174;stcrt-2018-69165;123258;485574;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69165
175;stcrt-2018-69166;123805;486295;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69166
176;stcrt-2018-69167;123641;486389;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69167
177;stcrt-2018-69168;124331;486569;E9;https://zoek.officielebekendmakingen.nl/stcrt-2018-69168
178;stcrt-2018-69169;123111;485495;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69169
179;stcrt-2018-69170;124892;486572;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69170
180;stcrt-2018-69171;123738;484189;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69171
181;stcrt-2018-69173;124894;483669;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69173
182;stcrt-2018-69172;123251;485571;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69172
183;stcrt-2018-69174;124795;486499;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69174
184;stcrt-2018-69175;121966;485719;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69175
184;stcrt-2018-69175;125074;483847;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69175
185;stcrt-2018-69179;128037;485406;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69179
185;stcrt-2018-69179;128037;485406;E8;https://zoek.officielebekendmakingen.nl/stcrt-2018-69179
186;stcrt-2018-69180;123767;486281;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69180
187;stcrt-2018-69182;124277;486150;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69182
188;stcrt-2018-69178;122640;484822;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69178
189;stcrt-2018-69181;123914;485769;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69181
190;stcrt-2018-69183;123902;487978;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69183
191;stcrt-2018-69176;124562;487829;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69176
192;stcrt-2018-69286;122045;486235;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69286
193;stcrt-2018-69289;123000;486860;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-69289
194;stcrt-2018-69304;124651;490757;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69304
195;stcrt-2018-69335;123150;490885;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69335
196;stcrt-2018-69310;123539;489597;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69310
197;stcrt-2018-69312;123706;489660;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69312
198;stcrt-2018-69314;122620;489253;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-69314
199;stcrt-2018-69319;123678;489627;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69319
200;stcrt-2018-69316;123605;489622;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69316
201;stcrt-2018-69369;123240;491720;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69369
202;stcrt-2018-69371;123991;489558;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69371
203;stcrt-2018-69135;124859;486460;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69135
204;stcrt-2018-69136;124685;485799;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69136
205;stcrt-2018-69137;124923;483973;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69137
206;stcrt-2018-69138;125187;483680;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69138
207;stcrt-2018-69139;128614;485224;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69139
208;stcrt-2018-69140;122597;485947;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69140
209;stcrt-2018-69141;128557;485258;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69141
210;stcrt-2018-69142;123401;485703;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69142
211;stcrt-2018-69143;122779;485414;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69143
212;stcrt-2018-69144;124640;485789;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-69144
213;stcrt-2018-68186;125860;479178;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-68186
215;stcrt-2018-67773;127953;479130;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-67773
216;stcrt-2018-67884;126751;478849;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-67884
217;stcrt-2018-67951;124513;486413;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67951
218;stcrt-2018-67094;122270;485675;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67094
219;stcrt-2018-67118;128227;485434;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67118
220;stcrt-2018-67095;128280;485302;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67095
221;stcrt-2018-67124;128472;485234;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67124
222;stcrt-2018-67051;124763;484786;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67051
223;stcrt-2018-67053;128401;485458;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67053
224;stcrt-2018-67054;128463;485511;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67054
225;stcrt-2018-67148;124245;486043;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67148
226;stcrt-2018-67129;124350;485388;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67129
227;stcrt-2018-67137;129237;484593;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67137
228;stcrt-2018-67144;124613;486059;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67144
229;stcrt-2018-67154;124329;486365;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67154
230;stcrt-2018-67157;124779;487713;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67157
231;stcrt-2018-67161;124208;485058;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67161
232;stcrt-2018-67172;122397;485639;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67172
